,company,hierarchy_level,job_since,years_at_job,company2,hierarchy_level2,school,job2_start,job2_end2,job2_duration,approx_work_xp,job_field_Account Strategist,job_field_Board/CEO,job_field_Business,job_field_Consultant,job_field_Finance,job_field_HR,job_field_IT,job_field_IT/Data,job_field_Marketing,job_field_Operations,job_field_Product,job_field_Quality,job_field_R&D,job_field_other,job_field2_Account Strategist,job_field2_Board/CEO,job_field2_Business,job_field2_Consultant,job_field2_Finance,job_field2_HR,job_field2_IT,job_field2_IT/Data,job_field2_Marketing,job_field2_Product,job_field2_R&D,job_field2_other
31,1,12,2020,2,1,5,2,2019,2021,2,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32,1,12,2015,7,1,12,0,2021,2022,1,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,1,4,2020,2,1,9,0,2020,2020,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,1,4,2021,1,1,1,2,2017,2021,4,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35,1,5,2021,1,1,5,2,2019,2021,2,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,1,6,2022,0,1,3,0,2018,2022,4,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37,1,8,2019,3,1,9,0,2018,2019,1,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,1,5,2021,1,1,8,0,2019,2022,3,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,1,2,2018,4,1,5,0,2016,2022,6,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40,1,8,2019,3,1,1,3,2015,2022,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,1,3,2021,1,1,1,0,2019,2022,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,1,5,2021,1,1,2,0,2019,2022,3,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43,1,1,2021,1,1,1,0,2020,2022,2,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,1,5,2019,3,1,5,0,2019,2022,3,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45,1,6,2020,2,1,6,0,2020,2022,2,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
